Name,ideology,Amt
 Tim Kaine (D) ,Govt/NGO,6000
 Tim Scott (R) ,Govt/NGO,1000
 Tina Smith (D) ,Govt/NGO,0
 Todd Young (R) ,Govt/NGO,4000
 Tom Carper (D) ,Govt/NGO,9000
 Tom Cotton (R) ,Govt/NGO,0
 Tom Udall (D) ,Govt/NGO,0
 Amy Klobuchar (D) ,Pvt,0
 Angus King (I) ,Pvt,0
 Ben Cardin (D) ,Pvt,0
 Ben Sasse (R) ,Pvt,0
 Bernie Sanders (I) ,Pvt,0
 Bill Cassidy (R) ,Pvt,0
 Bill Nelson (D) ,Pvt,1000
 Bob Casey (D) ,Pvt,0
 Bob Corker (R) ,Pvt,0
 Brian Schatz (D) ,Pvt,0
 Catherine Cortez Masto (D) ,Pvt,0
 Charles E Schumer (D) ,Pvt,0
 Chris Coons (D) ,Pvt,0
 Chris Van Hollen (D) ,Pvt,0
 Christopher S Murphy (D) ,Pvt,0
 Chuck Grassley (R) ,Pvt,0
 Cindy Hyde-Smith (R) ,Pvt,0
 Claire McCaskill (D) ,Pvt,0
 Cory Booker (D) ,Pvt,0
 Cory Gardner (R) ,Pvt,0
 Dan Sullivan (R) ,Pvt,0
 David Perdue (R) ,Pvt,0
 Dean Heller (R) ,Pvt,0
 Deb Fischer (R) ,Pvt,0
 Debbie Stabenow (D) ,Pvt,0
 Dianne Feinstein (D) ,Pvt,0
 Dick Durbin (D) ,Pvt,0
 Doug Jones (D) ,Pvt,0
 Ed Markey (D) ,Pvt,0
 Elizabeth Warren (D) ,Pvt,0
 Gary Peters (D) ,Pvt,0
 Heidi Heitkamp (D) ,Pvt,0
 Jack Reed (D) ,Pvt,0
 James E Risch (R) ,Pvt,0
 James Lankford (R) ,Pvt,0
 James M Inhofe (R) ,Pvt,0
 Jeanne Shaheen (D) ,Pvt,0
 Jeff Flake (R) ,Pvt,0
 Jeff Merkley (D) ,Pvt,0
 Jerry Moran (R) ,Pvt,0
 Joe Donnelly (D) ,Pvt,0
 Joe Manchin (D) ,Pvt,0
 John A Barrasso (R) ,Pvt,0
 John Boozman (R) ,Pvt,0
 John Cornyn (R) ,Pvt,0
 John Hoeven (R) ,Pvt,0
 John Kennedy (R) ,Pvt,0
 John Thune (R) ,Pvt,0
 Johnny Isakson (R) ,Pvt,0
 Jon Tester (D) ,Pvt,0
 Joni Ernst (R) ,Pvt,0
 Kamala D Harris (D) ,Pvt,0
 Kirsten Gillibrand (D) ,Pvt,0
 Lamar Alexander (R) ,Pvt,0
 Lindsey Graham (R) ,Pvt,0
 Lisa Murkowski (R) ,Pvt,0
 Maggie Hassan (D) ,Pvt,0
 Marco Rubio (R) ,Pvt,0
 Maria Cantwell (D) ,Pvt,0
 Mark Warner (D) ,Pvt,0
 Martin Heinrich (D) ,Pvt,0
 Mazie K Hirono (D) ,Pvt,0
 Michael F Bennet (D) ,Pvt,0
 Mike Crapo (R) ,Pvt,0
 Mike Enzi (R) ,Pvt,0
 Mike Lee (R) ,Pvt,0
 Mike Rounds (R) ,Pvt,0
 Mitch McConnell (R) ,Pvt,0
 Orrin G Hatch (R) ,Pvt,1000
 Pat Roberts (R) ,Pvt,0
 Pat Toomey (R) ,Pvt,0
 Patrick Leahy (D) ,Pvt,0
 Patty Murray (D) ,Pvt,0
 Rand Paul (R) ,Pvt,0
 Richard Blumenthal (D) ,Pvt,0
 Richard Burr (R) ,Pvt,0
 Richard C Shelby (R) ,Pvt,0
 Rob Portman (R) ,Pvt,0
 Robert Menendez (D) ,Pvt,0
 Roger Wicker (R) ,Pvt,0
 Ron Johnson (R) ,Pvt,0
 Ron Wyden (D) ,Pvt,0
 Sheldon Whitehouse (D) ,Pvt,0
 Shelley Moore Capito (R) ,Pvt,0
 Sherrod Brown (D) ,Pvt,0
 Steven Daines (R) ,Pvt,0
 Susan Collins (R) ,Pvt,0
 Tammy Baldwin (D) ,Pvt,0
 Tammy Duckworth (D) ,Pvt,0
 Ted Cruz (R) ,Pvt,0
 Thom Tillis (R) ,Pvt,0
 Tim Kaine (D) ,Pvt,0
 Tim Scott (R) ,Pvt,0
 Tina Smith (D) ,Pvt,0
 Todd Young (R) ,Pvt,1250
 Tom Carper (D) ,Pvt,0
 Tom Cotton (R) ,Pvt,0
 Tom Udall (D) ,Pvt,0
 Amy Klobuchar (D) ,committees,14000
 Angus King (I) ,committees,24674
 Ben Cardin (D) ,committees,8000
 Ben Sasse (R) ,committees,4000
 Bernie Sanders (I) ,committees,0
 Bill Cassidy (R) ,committees,-1000
 Bill Nelson (D) ,committees,18930
 Bob Casey (D) ,committees,281761
 Bob Corker (R) ,committees,35000
 Brian Schatz (D) ,committees,5000
 Catherine Cortez Masto (D) ,committees,1500
 Charles E Schumer (D) ,committees,0
 Chris Coons (D) ,committees,0
 Chris Van Hollen (D) ,committees,0
 Christopher S Murphy (D) ,committees,58875
 Chuck Grassley (R) ,committees,3225
 Cindy Hyde-Smith (R) ,committees,7000
 Claire McCaskill (D) ,committees,28299
 Cory Booker (D) ,committees,1000
 Cory Gardner (R) ,committees,0
 Dan Sullivan (R) ,committees,3000
 David Perdue (R) ,committees,3000
 Dean Heller (R) ,committees,56376
 Deb Fischer (R) ,committees,36361
 Debbie Stabenow (D) ,committees,83159
 Dianne Feinstein (D) ,committees,4250
 Dick Durbin (D) ,committees,12250
 Doug Jones (D) ,committees,648948
 Ed Markey (D) ,committees,0
 Elizabeth Warren (D) ,committees,8125
 Gary Peters (D) ,committees,1500
 Heidi Heitkamp (D) ,committees,870786
 Jack Reed (D) ,committees,7000
 James E Risch (R) ,committees,0
 James Lankford (R) ,committees,0
 James M Inhofe (R) ,committees,4000
 Jeanne Shaheen (D) ,committees,2000
 Jeff Flake (R) ,committees,57400
 Jeff Merkley (D) ,committees,1075
 Jerry Moran (R) ,committees,0
 Joe Donnelly (D) ,committees,177274
 Joe Manchin (D) ,committees,335637
 John A Barrasso (R) ,committees,8131
 John Boozman (R) ,committees,0
 John Cornyn (R) ,committees,5000
 John Hoeven (R) ,committees,0
 John Kennedy (R) ,committees,16982
 John Thune (R) ,committees,0
 Johnny Isakson (R) ,committees,0
 Jon Tester (D) ,committees,97327
 Joni Ernst (R) ,committees,0
 Kamala D Harris (D) ,committees,0
 Kirsten Gillibrand (D) ,committees,4500
 Lamar Alexander (R) ,committees,2000
 Lindsey Graham (R) ,committees,200
 Lisa Murkowski (R) ,committees,0
 Maggie Hassan (D) ,committees,0
 Marco Rubio (R) ,committees,0
 Maria Cantwell (D) ,committees,34250
 Mark Warner (D) ,committees,6000
 Martin Heinrich (D) ,committees,27825
 Mazie K Hirono (D) ,committees,8000
 Michael F Bennet (D) ,committees,1500
 Mike Crapo (R) ,committees,1000
 Mike Enzi (R) ,committees,0
 Mike Lee (R) ,committees,477
 Mike Rounds (R) ,committees,1000
 Mitch McConnell (R) ,committees,0
 Orrin G Hatch (R) ,committees,92000
 Pat Roberts (R) ,committees,-2654
 Pat Toomey (R) ,committees,0
 Patrick Leahy (D) ,committees,0
 Patty Murray (D) ,committees,9950
 Rand Paul (R) ,committees,64237
 Richard Blumenthal (D) ,committees,0
 Richard Burr (R) ,committees,0
 Richard C Shelby (R) ,committees,0
 Rob Portman (R) ,committees,1500
 Robert Menendez (D) ,committees,24250
 Roger Wicker (R) ,committees,64095
 Ron Johnson (R) ,committees,2610
 Ron Wyden (D) ,committees,0
 Sheldon Whitehouse (D) ,committees,18920
 Shelley Moore Capito (R) ,committees,0
 Sherrod Brown (D) ,committees,35070
 Steven Daines (R) ,committees,0
 Susan Collins (R) ,committees,2000
 Tammy Baldwin (D) ,committees,29680
 Tammy Duckworth (D) ,committees,-100
 Ted Cruz (R) ,committees,126177
 Thom Tillis (R) ,committees,2000
 Tim Kaine (D) ,committees,16320
 Tim Scott (R) ,committees,1840
 Tina Smith (D) ,committees,158693
 Todd Young (R) ,committees,0
 Tom Carper (D) ,committees,5500
 Tom Cotton (R) ,committees,1000
 Tom Udall (D) ,committees,125
